@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute lpx numeric
@attribute lpy numeric
@attribute lpz numeric
@attribute lrx numeric
@attribute lry numeric
@attribute lrz numeric
@attribute lrw numeric
@attribute rpx numeric
@attribute rpy numeric
@attribute rpz numeric
@attribute rrx numeric
@attribute rry numeric
@attribute rrz numeric
@attribute rrw numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5}
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 {0,1,2,3,4,5}

@data
96,'2020/05/05 21:00:39:731',2,-0.405509,0.649268,-0.284057,0.318908,0.290066,-0.373044,-0.821582,-0.214418,1.211159,0.101247,0.266575,0.148312,-0.176218,-0.935889,?,?,?,?,?,1
97,'2020/05/05 21:00:39:746',2,-0.405509,0.649268,-0.284057,0.318908,0.290065,-0.373044,-0.821582,-0.238507,1.19863,0.096649,0.257084,0.172042,-0.183027,-0.933172,?,?,?,?,?,1
98,'2020/05/05 21:00:39:759',2,-0.405509,0.649268,-0.284057,0.318908,0.290065,-0.373045,-0.821582,-0.25631,1.188298,0.092678,0.248967,0.193817,-0.189111,-0.929885,?,?,?,?,?,1
99,'2020/05/05 21:00:39:775',2,-0.405509,0.649268,-0.284057,0.318909,0.290065,-0.373045,-0.821582,-0.361363,1.124267,0.067555,0.244115,0.212219,-0.199726,-0.924922,?,?,?,?,?,1
100,'2020/05/05 21:00:39:788',2,-0.405509,0.649268,-0.284057,0.318909,0.290065,-0.373045,-0.821582,-0.381455,1.107279,0.058303,0.23874,0.231817,-0.20671,-0.920073,?,?,?,?,?,1
101,'2020/05/05 21:00:39:802',2,-0.405509,0.649268,-0.284057,0.318909,0.290065,-0.373045,-0.821582,-0.401206,1.08891,0.048627,0.227859,0.254535,-0.207322,-0.916684,?,?,?,?,?,1
102,'2020/05/05 21:00:39:815',2,-0.405509,0.649268,-0.284057,0.318909,0.290065,-0.373045,-0.821582,-0.420439,1.069726,0.038266,0.215003,0.277872,-0.203969,-0.91376,?,?,?,?,?,1
103,'2020/05/05 21:00:39:830',2,-0.405509,0.649268,-0.284057,0.318909,0.290065,-0.373045,-0.821582,-0.43752,1.051167,0.026756,0.205879,0.297632,-0.200309,-0.910442,?,?,?,?,?,1
104,'2020/05/05 21:00:39:841',2,-0.405509,0.649268,-0.284057,0.318909,0.290065,-0.373045,-0.821582,-0.45219,1.033116,0.016248,0.197673,0.312015,-0.20405,-0.906607,?,?,?,?,?,1
105,'2020/05/05 21:00:39:858',2,-0.405509,0.649268,-0.284057,0.318909,0.290065,-0.373045,-0.821582,-0.464853,1.014408,0.006339,0.186726,0.325533,-0.215689,-0.901465,?,?,?,?,?,1
106,'2020/05/05 21:00:39:870',2,-0.405509,0.649268,-0.284057,0.318909,0.290064,-0.373045,-0.821582,-0.477395,0.995984,-0.004045,0.175624,0.342653,-0.229757,-0.893844,?,?,?,?,?,1
107,'2020/05/05 21:00:39:886',2,-0.405509,0.649268,-0.284057,0.318909,0.290064,-0.373046,-0.821582,-0.487847,0.979264,-0.015331,0.169069,0.36146,-0.248714,-0.882555,?,?,?,?,?,1
108,'2020/05/05 21:00:39:897',2,-0.405509,0.649268,-0.284057,0.318909,0.290064,-0.373046,-0.821582,-0.497707,0.965099,-0.025323,0.164929,0.3775,-0.262757,-0.872497,?,?,?,?,?,1
109,'2020/05/05 21:00:39:916',2,-0.405509,0.649268,-0.284057,0.318909,0.290064,-0.373046,-0.821582,-0.505833,0.952899,-0.034412,0.163287,0.389316,-0.275438,-0.863658,?,?,?,?,?,1
110,'2020/05/05 21:00:39:925',2,-0.405509,0.649268,-0.284057,0.31891,0.290064,-0.373046,-0.821582,-0.510439,0.943889,-0.041596,0.164977,0.394704,-0.289064,-0.856407,?,?,?,?,?,1
111,'2020/05/05 21:00:39:941',2,-0.405509,0.649268,-0.284057,0.31891,0.290064,-0.373046,-0.821582,-0.514754,0.935868,-0.047124,0.16494,0.39992,-0.300597,-0.85,?,?,?,?,?,1
112,'2020/05/05 21:00:39:954',2,-0.405509,0.649268,-0.284057,0.31891,0.290064,-0.373046,-0.821582,-0.51804,0.928974,-0.052024,0.164867,0.404822,-0.311567,-0.84372,?,?,?,?,?,1
113,'2020/05/05 21:00:39:968',2,-0.405509,0.649268,-0.284057,0.31891,0.290064,-0.373046,-0.821582,-0.519904,0.922992,-0.05682,0.166192,0.407074,-0.319698,-0.839324,?,?,?,?,?,1
114,'2020/05/05 21:00:39:982',2,-0.405509,0.649268,-0.284057,0.31891,0.290064,-0.373046,-0.821582,-0.521092,0.918734,-0.058505,0.164282,0.406705,-0.323386,-0.838465,?,?,?,?,?,1
115,'2020/05/05 21:00:39:997',2,-0.405509,0.649268,-0.284057,0.31891,0.290064,-0.373046,-0.821582,-0.521199,0.914372,-0.059047,0.158146,0.40521,-0.328624,-0.838332,?,?,?,?,?,1
116,'2020/05/05 21:00:40:010',2,-0.405508,0.649268,-0.284057,0.31891,0.290063,-0.373046,-0.821581,-0.520958,0.910178,-0.059345,0.151786,0.407184,-0.33614,-0.835567,?,?,?,?,?,1
